Designator,Mid X,Mid Y,Rotation,Layer
C1,97.5,-67.8625,270.0,top
C10,161.0,-69.0,270.0,top
C2,66.0,-67.8625,270.0,top
C3,97.5,-101.5,270.0,top
C4,66.0,-101.5,270.0,top
C5,153.0,-104.0,270.0,top
C6,151.393812,-56.498925,270.0,top
C7,166.163248,-61.5,90.0,top
C9,163.494574,-69.0,270.0,top
D1,157.514654,-71.5,180.0,top
D2,147.0,-61.5,90.0,top
F1,147.0,-68.0,180.0,top
J1,99.076132,-74.736539,90.0,top
J2,98.925731,-56.69561,270.0,top
J3,67.465731,-74.731789,90.0,top
J4,67.536486,-56.682543,270.0,top
J5,99.086056,-108.306152,90.0,top
J6,99.086056,-90.282546,270.0,top
J7,67.586401,-108.269999,90.0,top
J8,67.58,-90.199431,270.0,top
J9,150.75,-84.0,90.0,top
L1,162.5,-60.0,0.0,top
Q1,153.0625,-68.55,0.0,top
R1,113.5,-79.5,180.0,top
R10,149.5,-99.9025,90.0,top
R11,152.0,-99.9025,270.0,top
R12,155.0,-100.0,270.0,top
R13,160.011054,-62.137776,0.0,top
R14,156.0,-55.0,180.0,top
R15,156.0,-64.1,180.0,top
R16,156.0,-62.1,0.0,top
R17,160.011054,-63.737776,0.0,top
R18,157.594432,-67.271186,180.0,top
R2,113.5,-87.0,0.0,top
R3,146.5,-99.9025,90.0,top
R4,86.0,-56.0,90.0,top
R5,54.5,-56.0,90.0,top
R6,86.5,-109.5,270.0,top
R7,55.0,-109.0875,270.0,top
R8,144.5,-90.5,270.0,top
R9,153.5,-108.5,180.0,top
U1,92.296524,-65.708951,0.0,top
U2,60.799761,-65.670363,0.0,top
U3,92.45198,-99.292086,0.0,top
U4,60.878153,-99.250477,0.0,top
U6,148.249999,-106.731,0.0,top
U9,156.1375,-59.05,0.0,top
